IATA_1,IATA_2,Distance
NAN,TTL,88236
SUV,LEV,42621
SUV,NGI,83038
TBU,EUA,25088
TRW,ABF,47892
TRW,MZK,76612
TRW,MNK,44018
TBF,NON,75747
TBF,TSU,42445
APW,FGI,29041
APW,MXS,28737
AAA,FAC,76590
TIH,MVT,59285
TIH,RGI,63983
REA,PUK,63834
FAV,APK,97222
FAV,NIU,76425
FAV,FAC,78654
FAV,KHZ,64663
XMH,TKP,93823
XMH,AHE,20183
KKR,AXR,54415
KKR,APK,51368
KKR,NIU,75065
TKP,XMH,93823
TKP,TKX,36939
AXR,KKR,54415
AXR,APK,42206
AXR,AHE,99182
MVT,TIH,59285
TKX,TKP,36939
NHV,UAP,64088
NHV,UAH,76088
BOB,HUH,82346
BOB,MAU,52675
BOB,RFP,43425
RGI,TIH,63983
HUH,BOB,82346
HUH,RFP,47506
MOZ,PPT,17917
MOZ,TTI,56232
MAU,BOB,52675
MAU,RFP,89325
RFP,BOB,43425
RFP,HUH,47506
RFP,MAU,89325
VLI,EAE,67838
VLI,TGH,93258
KNQ,KOC,82786
KNQ,TOU,52830
KOC,KNQ,82786
LIF,UVE,71042
LIF,TGJ,68686
GEA,NOU,38141
MEE,TGJ,49311
TOU,KNQ,52830
UVE,LIF,71042
NOU,GEA,38141
AKL,AMZ,16266
AKL,WTZ,81345
AKL,WIK,34300
TUO,ROT,73069
AMZ,AKL,16266
AMZ,HLZ,98427
AMZ,GBZ,98424
AMZ,WTZ,66577
AMZ,WIK,26557
GIS,WIR,62566
GTN,MON,15779
GTN,TIU,98150
GTN,TWZ,36555
HLZ,AMZ,98427
HLZ,ROT,90537
HLZ,TRG,79060
KKE,KAT,60961
KKE,WRE,69651
KAT,KKE,60961
ALR,ZQN,54135
ALR,WKA,55402
MON,GTN,15779
MON,TWZ,52334
TEU,MFN,98087
MRO,OHA,87910
MRO,PMR,72673
MRO,PPQ,54774
MRO,WLG,79879
NSN,BHE,59463
NSN,PCN,61677
NSN,KTF,65700
NSN,MZP,27513
IVC,SZS,56613
OHA,MRO,87910
OHA,PMR,23263
OHA,PPQ,84784
OHA,WAG,41139
OAM,TIU,75131
PMR,MRO,72673
PMR,OHA,23263
PMR,PPQ,83930
PMR,WAG,64264
PPQ,MRO,54774
PPQ,OHA,84784
PPQ,PMR,83930
PPQ,WLG,49499
PPQ,PCN,99586
ZQN,ALR,54135
ZQN,WKA,52028
ZQN,MFN,75143
ROT,TUO,73069
ROT,HLZ,90537
ROT,TRG,49827
ROT,WHK,56411
TRG,HLZ,79060
TRG,ROT,49827
TRG,WHK,68960
TIU,GTN,98150
TIU,OAM,75131
TIU,TWZ,88564
TWZ,GTN,36555
TWZ,MON,52334
TWZ,TIU,88564
TWZ,WKA,87967
BHE,NSN,59463
BHE,WLG,80894
BHE,PCN,20469
BHE,MZP,85781
WKA,ALR,55402
WKA,ZQN,52028
WKA,TWZ,87967
WHK,ROT,56411
WHK,TRG,68960
WLG,MRO,79879
WLG,PPQ,49499
WLG,BHE,80894
WLG,PCN,70993
WIR,GIS,62566
WIR,NPE,68945
WRE,KKE,69651
WAG,OHA,41139
WAG,PMR,64264
HEA,OAH,91187
JAA,PAJ,67948
KBL,OAI,42597
KBL,OAA,72693
MZR,TMJ,65156
OAH,HEA,91187
BAH,DMM,86282
BAH,DHA,48079
AHB,KMX,16771
DMM,BAH,86282
DMM,DHA,42097
DMM,QJB,74294
DHA,BAH,48079
DHA,DMM,42097
QJB,DMM,74294
KMC,AQI,75972
AQI,KMC,75972
RUH,XXN,27713
SLF,WAE,44019
ABD,MRX,90985
ABD,BSR,57830
AKW,OMI,16951
AKW,MRX,54495
GCH,YES,79756
OMI,AKW,16951
OMI,MRX,48049
OMI,AWZ,92490
MRX,ABD,90985
MRX,AKW,54495
MRX,OMI,48049
MRX,AWZ,94595
AWZ,OMI,92490
AWZ,MRX,94595
AEU,BDH,75961
AEU,SXI,49570
AEU,DXB,76913
AEU,RKT,95399
AEU,SHJ,77923
BUZ,KHK,60835
KIH,BDH,84123
KIH,SXI,88548
KIH,LVP,69657
BDH,AEU,75961
BDH,KIH,84123
BDH,SXI,74990
KHK,BUZ,60835
SXI,AEU,49570
SXI,KIH,88548
SXI,BDH,74990
LVP,KIH,69657
LVP,LFM,64769
LVP,PGU,88173
IFH,IFN,34372
IFH,CQD,97411
IFN,IFH,34372
THR,IKA,33725
THR,PYK,45031
GZW,RZR,93577
GZW,PYK,87157
BND,HDR,21398
JYR,BXR,85763
KER,RJN,86552
HDR,BND,21398
SYJ,RJN,90796
RUD,GBT,82724
RZR,GZW,93577
RZR,NSH,75184
FAZ,JAR,36764
JAR,FAZ,36764
LFM,LVP,64769
LFM,PGU,44599
LFM,KNR,96420
KHY,OMH,84946
KHY,NAJ,94608
TBZ,ACP,87993
ACZ,ZAJ,33763
AMM,MTZ,72242
AMM,ADJ,27841
AMM,OMF,74886
ADJ,MTZ,91720
ADJ,AMM,27841
ADJ,OMF,49602
AQJ,ETH,7930
AQJ,VDA,37445
AQJ,TCP,23381
AQJ,ETM,12495
OMF,RPN,94776
OMF,AMM,74886
OMF,ADJ,49602
KWI,XIJ,36765
BEY,RPN,93819
BEY,KYE,98154
KYE,BEY,98154
KYE,LTK,90549
AUH,AZI,19568
AUH,DHF,23091
AUH,AAN,99023
AUH,NHD,97965
AUH,DWC,72975
AZI,AUH,19568
AZI,DHF,22012
AZI,DWC,88186
DHF,AUH,23091
DHF,AZI,22012
DHF,DWC,95215
DXB,AEU,76913
DXB,FJR,97928
DXB,RKT,70333
DXB,SHJ,17542
DXB,NHD,25159
DXB,DWC,44648
FJR,DXB,97928
FJR,RKT,67937
FJR,SHJ,84747
FJR,NHD,97044
FJR,OHS,86388
RKT,AEU,95399
RKT,DXB,70333
RKT,FJR,67937
RKT,SHJ,52925
RKT,KHS,69029
RKT,NHD,87094
SHJ,AEU,77923
SHJ,DXB,17542
SHJ,FJR,84747
SHJ,RKT,52925
SHJ,NHD,36880
SHJ,DWC,60013
KHS,RKT,69029
MCT,MNH,81451
SLL,TTH,70189
TTH,SLL,70189
BHW,LYP,77058
BHW,SGI,26752
LYP,BHW,77058
LYP,SGI,82258
GWD,JIW,55932
JAG,SKZ,71040
JAG,SUL,81722
LHE,ATQ,42789
XJM,RAZ,90239
XJM,SKT,88825
XJM,ISB,92677
MFG,RAZ,60655
MWD,DSK,96562
MJD,SKZ,77159
MJD,RZS,83592
MUX,BHV,99474
MUX,DEA,93847
WNS,SYW,72825
WNS,RZS,96285
PSI,TUK,83665
PEW,ATG,83031
RAZ,XJM,90239
RAZ,MFG,60655
RAZ,SXR,91456
RAZ,ISB,93368
SKZ,JAG,71040
SKZ,MJD,77159
SKZ,KCF,80692
SKZ,RZS,84568
SUL,JAG,81722
BDN,HDD,71291
BSR,ABD,57830
ALP,GZT,88304
ALP,HTY,86953
LTK,KYE,90549
DIA,XJD,29849
DIA,DOH,4524
ROP,UAM,73907
ROP,GUM,90828
SPN,TIQ,17823
UAM,ROP,73907
UAM,GUM,18322
GUM,ROP,90828
GUM,UAM,18322
TIQ,SPN,17823
KNH,XMN,26734
KNH,JJN,47215
TTT,GNI,38453
TTT,KHH,79745
TTT,KYD,92487
TTT,TNN,94451
TTT,PIF,63950
TTT,HCN,88212
GNI,TTT,38453
GNI,KYD,72362
KHH,TTT,79745
KHH,CYI,98583
KHH,TNN,44106
KHH,PIF,19280
KHH,HCN,71357
CYI,KHH,98583
CYI,RMQ,92343
CYI,TNN,60058
CYI,MZG,78989
CYI,PIF,85270
CYI,WOT,91544
CYI,TXG,84918
KYD,TTT,92487
KYD,GNI,72362
KYD,HCN,83082
RMQ,CYI,92343
RMQ,HSZ,69503
RMQ,TXG,9348
TNN,TTT,94451
TNN,KHH,44106
TNN,CYI,60058
TNN,MZG,90729
TNN,PIF,39720
TNN,WOT,85644
TNN,CMJ,85833
HSZ,RMQ,69503
HSZ,TSA,67908
HSZ,TPE,41428
HSZ,TXG,76016
MZG,CYI,78989
MZG,TNN,90729
MZG,WOT,25803
MZG,CMJ,45026
PIF,TTT,63950
PIF,KHH,19280
PIF,CYI,85270
PIF,TNN,39720
PIF,HCN,77685
TSA,HSZ,67908
TSA,TPE,32178
TPE,HSZ,41428
TPE,TSA,32178
WOT,CYI,91544
WOT,TNN,85644
WOT,MZG,25803
WOT,CMJ,19237
HUN,TXG,99624
NRT,IBR,46427
NRT,NJA,91474
NRT,HND,59694
NRT,OKO,93786
MMJ,TOY,84906
IBR,NRT,46427
IBR,HND,90449
SHM,TKS,87389
SHM,KIX,85887
OBO,KUH,86661
CTS,OKD,45742
MMB,SHB,72377
MMB,MBE,76893
MMB,KUH,93493
SHB,MMB,72377
SHB,KUH,86179
SHB,DEE,71943
WKJ,RIS,51410
IKI,TSJ,72895
IKI,FUK,64319
IKI,NGS,93403
IKI,HSG,82198
UBJ,FUK,85672
UBJ,OIT,65688
UBJ,KKJ,24414
UBJ,IWJ,95455
UBJ,IWK,91434
TSJ,IKI,72895
MBE,MMB,76893
RIS,WKJ,51410
KUM,TNE,40140
FUK,IKI,64319
FUK,UBJ,85672
FUK,KKJ,61334
FUK,KMJ,91434
FUK,NGS,89695
FUK,HSG,50495
TNE,KUM,40140
KOJ,KMI,69523
KOJ,AXJ,92200
KMI,KOJ,69523
OIT,UBJ,65688
OIT,KKJ,76779
OIT,MYJ,97271
OIT,IWK,87189
KKJ,UBJ,24414
KKJ,FUK,61334
KKJ,OIT,76779
KMJ,FUK,91434
KMJ,NGS,88419
KMJ,HSG,62251
KMJ,AXJ,76254
NGS,IKI,93403
NGS,FUK,89695
NGS,KMJ,88419
NGS,HSG,44528
NGS,AXJ,53527
ASJ,KKX,24320
OKE,TKN,49065
OKE,RNJ,51764
TKN,OKE,49065
FKJ,KMQ,32488
QGU,NGO,59927
QGU,NKM,16243
KMQ,FKJ,32488
KMQ,TOY,75361
OKI,IZO,94032
OKI,YGJ,77107
TOY,MMJ,84906
TOY,KMQ,75361
TOY,NTQ,74540
HIJ,OKJ,92906
HIJ,MYJ,70723
HIJ,HIW,47020
HIJ,IWK,70740
OKJ,HIJ,92906
OKJ,YGJ,99379
OKJ,TTJ,90637
OKJ,TKS,97941
OKJ,TAK,62193
IZO,OKI,94032
IZO,YGJ,32572
YGJ,OKI,77107
YGJ,OKJ,99379
YGJ,IZO,32572
YGJ,TTJ,84468
KCZ,MYJ,95054
KCZ,TAK,80992
MYJ,OIT,97271
MYJ,HIJ,70723
MYJ,KCZ,95054
MYJ,HIW,65609
MYJ,IWK,55473
ITM,UKB,25932
ITM,KIX,43657
TTJ,OKJ,90637
TTJ,YGJ,84468
TTJ,TJH,56206
TKS,SHM,87389
TKS,OKJ,97941
TKS,TAK,55179
TKS,UKB,79442
TKS,KIX,67141
TAK,OKJ,62193
TAK,KCZ,80992
TAK,TKS,55179
AOJ,HHE,68403
AOJ,MSJ,57227
AOJ,ONJ,66224
GAJ,SDJ,56523
GAJ,SYO,67573
SDS,KIJ,63089
HHE,AOJ,68403
HHE,MSJ,18320
HNA,AXT,81364
AXT,HNA,81364
AXT,ONJ,65453
AXT,SYO,96885
MSJ,AOJ,57227
MSJ,HHE,18320
SDJ,GAJ,56523
NJA,NRT,91474
NJA,OIM,75321
NJA,HND,31822
NJA,OKO,33994
OIM,NJA,75321
OIM,HND,93881
OIM,MYE,80969
HND,NRT,59694
HND,IBR,90449
HND,NJA,31822
HND,OIM,93881
HND,OKO,44766
OKO,NRT,93786
OKO,NJA,33994
OKO,HND,44766
KWJ,CHN,88713
KWJ,RSU,80352
KWJ,MWX,41210
KWJ,KUV,88578
KWJ,MPK,56139
CHN,KWJ,88713
CHN,KUV,45463
CHN,CJJ,99406
RSU,KWJ,80352
RSU,HIN,49726
KAG,WJU,93174
KAG,YNY,41908
CJU,JDG,23839
CHF,PUS,22433
CHF,USN,78035
CHF,TAE,84309
CHF,HIN,57155
PUS,CHF,22433
PUS,USN,59461
PUS,TAE,83863
PUS,HIN,79509
USN,CHF,78035
USN,PUS,59461
USN,KPO,44343
USN,TAE,71433
SSN,OSN,40099
SSN,GMP,31097
SSN,SWU,24699
SSN,ICN,58537
SSN,WJU,75227
SSN,CJJ,87966
SSN,HMY,99488
OSN,SSN,40099
OSN,GMP,56199
OSN,SWU,16689
OSN,ICN,66374
OSN,WJU,91475
OSN,CJJ,58911
OSN,HMY,64788
GMP,SSN,31097
GMP,OSN,56199
GMP,SWU,40313
GMP,ICN,31622
GMP,HMY,98877
SWU,SSN,24699
SWU,OSN,16689
SWU,GMP,40313
SWU,ICN,55448
SWU,WJU,87614
SWU,CJJ,72759
SWU,HMY,75493
KPO,USN,44343
KPO,TAE,69694
TAE,CHF,84309
TAE,PUS,83863
TAE,USN,71433
TAE,KPO,69694
TAE,YEC,86137
YEC,TAE,86137
YEC,WJU,96554
YEC,CJJ,76587
OKA,DNA,21557
OKA,UEO,94882
OKA,AGJ,59842
OKA,KJP,35397
OKA,IEJ,60192
DNA,OKA,21557
DNA,RNJ,99236
DNA,AGJ,58763
DNA,KJP,51800
DNA,IEJ,40823
ISG,TRA,52137
ISG,HTR,58288
UEO,OKA,94882
UEO,AGJ,58372
UEO,KJP,61749
MMD,KTD,12672
MMY,SHI,15926
MMY,TRA,64315
KTD,MMD,12672
SHI,MMY,15926
SHI,TRA,51263
TRA,ISG,52137
TRA,MMY,64315
TRA,SHI,51263
RNJ,OKE,51764
RNJ,DNA,99236
RNJ,IEJ,70977
OGN,HTR,95520
MNL,CRK,90201
MNL,SFS,86714
PAG,DPL,86856
PAG,OZC,57106
GES,AAV,51376
BAG,SFE,41803
DTE,WNP,68218
MBO,LBX,90114
TAC,OMC,53971
BCD,ILO,57386
BCD,RXS,95832
DGT,TAG,71113
DGT,DPL,81585
MPH,KLO,53469
MPH,RXS,94270
MPH,TBH,45326
ILO,BCD,57386
ILO,KLO,95086
ILO,EUQ,61727
ILO,RXS,89687
KLO,MPH,53469
KLO,ILO,95086
KLO,RXS,41992
KLO,TBH,77120
EUQ,ILO,61727
EUQ,CYU,95027
COC,STY,15799
GHU,PDU,88624
PRA,SFN,32696
SFN,PRA,32696
AEP,FDO,19850
AEP,LPG,66203
AEP,EPA,18916
AEP,EZE,31276
AEP,CYR,60264
FDO,AEP,19850
FDO,LPG,85914
FDO,EPA,17571
FDO,EZE,41371
FDO,CYR,75178
LPG,AEP,66203
LPG,FDO,85914
LPG,EPA,77032
LPG,EZE,60869
LPG,CYR,58531
EPA,AEP,18916
EPA,FDO,17571
EPA,LPG,77032
EPA,EZE,24656
EPA,CYR,79083
GNR,NQN,46674
SDE,RHD,68611
TUC,RHD,74885
CNQ,RES,29068
CNQ,PIL,76670
RES,CNQ,29068
RES,PIL,96707
FMA,PIL,74957
IGR,ELO,74188
IGR,IGU,15298
IGR,AGT,48636
AOL,MCS,80123
AOL,UZU,80433
AOL,URG,15097
MCS,AOL,80123
MCS,UZU,64652
MCS,URG,79611
PSS,AYO,87337
PSS,ENO,22015
SLA,JUJ,64835
JUJ,SLA,64835
ORA,BJO,42279
ORA,TTG,80865
ELO,IGR,74188
ELO,IGU,89199
OYA,RCQ,46310
RCQ,OYA,46310
UZU,AOL,80433
UZU,MCS,64652
UZU,URG,90901
EHL,BRC,93531
EQS,FFU,65809
REL,PMY,52059
PMY,REL,52059
USH,WPU,43968
ULA,RZA,96813
PMQ,BBA,88247
PMQ,CCH,54480
RZA,ULA,96813
OVR,TDL,95962
MDQ,VLG,91406
NQN,GNR,46674
NQN,CUT,96013
BRC,EHL,93531
TDL,OVR,95962
VLG,MDQ,91406
VLG,SST,81866
CUT,NQN,96013
CUT,APZ,73600
CDJ,RDC,82568
AQA,RAO,83779
AQA,QPS,84653
AQA,QSC,24721
ARU,LIP,92533
BEL,SFK,75840
PLU,CNF,25341
BFH,CWB,14853
BFH,PGZ,95021
BAU,MII,91390
BAU,JTC,19834
BAU,QCJ,89453
CAC,TOW,40207
CNF,PLU,25341
XAP,ERM,70168
XAP,CCI,60037
XAP,SQX,92747
CLN,AUX,86942
CCM,JJG,35748
CAW,MEA,86293
CAW,ITP,79888
CMG,PSZ,16227
CWB,BFH,14853
CWB,JOI,86251
CRQ,MVS,78371
CRQ,TXF,46319
CXJ,POA,88769
MAO,PLL,13881
IGU,IGR,15298
IGU,ELO,89199
IGU,AGT,39424
FLN,NVT,88516
GIG,SDU,14340
GIG,SNZ,49952
GIG,QNV,22701
GJM,GYA,7661
GJM,RIB,81717
GRU,VCP,82767
GRU,SJK,66598
GRU,CGH,28286
GRU,SSZ,57602
GRU,CPQ,91340
GRU,BJP,51232
GUJ,SJK,83069
GUJ,PPY,92311
GUJ,UBT,73502
GUJ,REZ,82194
GUJ,QHP,42230
ITA,MBZ,88377
IOS,UNA,60136
IPN,GVR,83233
JDF,IZA,38077
JOI,CWB,86251
JOI,NVT,74404
JOI,BNU,73507
VCP,GRU,82767
VCP,CGH,84454
VCP,SOD,63770
VCP,CPQ,16717
VCP,BJP,61257
LIP,ARU,92533
LIP,MII,62676
LIP,JTC,89824
LDB,MGF,91567
MGF,LDB,91567
PLL,MAO,13881
MCZ,APQ,96516
NVT,FLN,88516
NVT,JOI,74404
NVT,BNU,43934
GEL,SRA,54155
OYK,OYP,4755
POA,CXJ,88769
POO,QPS,80756
POO,PPY,83350
PFB,ERM,65052
PNB,PMW,47862
PMG,PJC,16514
PMG,DOU,88763
SDU,GIG,14340
SDU,SNZ,57059
SDU,QNV,35609
RAO,AQA,83779
RAO,FRC,73127
RAO,QSC,83312
SNZ,GIG,49952
SNZ,SDU,57059
SNZ,QNV,33745
SNZ,REZ,93078
SJK,GRU,66598
SJK,GUJ,83069
SJK,CGH,92435
SJK,SSZ,89728
SJK,BJP,74604
SJK,UBT,83722
SJK,QHP,41159
CGH,GRU,28286
CGH,VCP,84454
CGH,SJK,92435
CGH,SSZ,49497
CGH,SOD,86650
CGH,CPQ,97078
CGH,BJP,73036
SJP,BAT,88455
SSZ,GRU,57602
SSZ,SJK,89728
SSZ,CGH,49497
SSA,VAL,84497
TMT,ORX,67200
TBT,LET,6964
URG,AOL,15097
URG,MCS,79611
URG,UZU,90901
URG,ATI,85728
VAG,PPY,90418
VIX,GUZ,48263
QPS,AQA,84653
QPS,POO,80756
QPS,QSC,59992
ARI,TCQ,33528
BBA,PMQ,88247
BBA,CCH,74273
BBA,GXQ,48281
CCH,PMQ,54480
CCH,BBA,74273
YAI,LSQ,97690
YAI,CCP,94511
PUQ,WPR,45390
GXQ,BBA,48281
SCL,QRC,86912
SCL,KNA,81262
WPR,PUQ,45390
FFU,EQS,65809
FFU,WCH,74643
LSQ,YAI,97690
LSQ,CCP,90053
LSQ,ZIC,94185
WPU,USH,43968
CCP,YAI,94511
CCP,LSQ,90053
ZOS,PMC,92181
QRC,SCL,86912
PZS,ZPC,85545
PZS,ZIC,63229
PZS,ZCO,17755
PMC,ZOS,92181
WCH,FFU,74643
ZAL,ZCO,88879
ATF,LTX,34287
ATF,PTZ,65654
OCC,TPC,81556
OCC,TNW,93931
GPS,SCY,88275
GPS,IBB,93868
LTX,ATF,34287
LTX,UIO,91219
LTX,PTZ,90701
MRR,LOH,76181
XMS,PTZ,88616
MCH,ETR,19664
MCH,TBP,56330
MEC,PVO,25337
PVO,MEC,25337
UIO,LTX,91219
ETR,MCH,19664
ETR,TBP,44454
ETR,LOH,92861
TPC,OCC,81556
TPC,PUU,72245
TUA,IPI,7098
TUA,PSO,80100
AYO,PSS,87337
PIL,CNQ,76670
PIL,RES,96707
PIL,FMA,74957
AXM,IBE,70351
AXM,MZL,72411
AXM,PEI,40174
AXM,ULQ,65976
AXM,CRC,39962
PUU,TPC,72245
PUU,VGZ,53989
ELB,MGN,99377
BGA,EJA,69648
BOG,GIR,86269
BOG,MQU,99552
BOG,VVC,83849
BOG,API,95148
BAQ,CTG,94309
BAQ,SMR,65346
BSC,NQU,57783
BUN,CLO,74241
BUN,ULQ,88991
CUC,LFR,43653
CUC,SCI,36818
CUC,SVZ,12487
CUC,STD,66234
CTG,BAQ,94309
CLO,BUN,74241
CLO,ULQ,62828
CZU,MGN,48575
CZU,MTR,82077
CZU,TLU,38352
CZU,CVE,45202
EJA,BGA,69648
FLA,PTX,65257
GIR,BOG,86269
GIR,IBE,40716
IBE,AXM,70351
IBE,GIR,40716
IBE,MZL,77022
IBE,PEI,80121
IBE,MQU,92302
IBE,CRC,98647
IPI,TUA,7098
IPI,PSO,73003
MCJ,RCH,57722
LET,TBT,6964
EOH,MDE,19556
MGN,ELB,99377
MGN,CZU,48575
MGN,TLU,84960
MGN,CVE,93736
MTR,CZU,82077
MTR,TLU,80776
MTR,CVE,65930
MZL,AXM,72411
MZL,IBE,77022
MZL,PEI,38885
MZL,MQU,67572
MZL,CRC,62279
OTU,EBG,66054
PCR,PYH,64096
PEI,AXM,40174
PEI,IBE,80121
PEI,MZL,38885
PEI,ULQ,97604
PEI,CRC,24739
PTX,FLA,65257
PTX,PPN,88338
PPN,PTX,88338
PSO,TUA,80100
PSO,IPI,73003
PSO,VGZ,89371
PVA,ADZ,94212
MQU,BOG,99552
MQU,IBE,92302
MQU,MZL,67572
MQU,PAL,39230
MDE,EOH,19556
RCH,MCJ,57722
SMR,BAQ,65346
ADZ,PVA,94212
TME,RVE,56767
TME,PZA,65510
AUC,GDO,19589
AUC,PTM,82504
AUC,SBB,94490
UIB,NQU,70829
UIB,COG,67932
ULQ,AXM,65976
ULQ,BUN,88991
ULQ,CLO,62828
ULQ,PEI,97604
ULQ,CRC,80755
VVC,BOG,83849
VVC,API,11689
BJO,ORA,42279
BJO,TTG,55999
CIJ,IBP,87436
POI,SRE,75164
PSZ,CMG,16227
SRE,POI,75164
VLM,BYC,82584
VVI,SRZ,18959
BYC,VLM,82584
BYC,TTG,74771
PBM,ORG,39882
PBM,MOJ,88941
OYP,OYK,4755
IBP,CIJ,87436
JJI,TPP,83348
TBP,MCH,56330
TBP,ETR,44454
YMS,TPP,74046
CHH,RIJ,78475
TPP,JJI,83348
TPP,YMS,74046
TPP,RIJ,99940
TCQ,ARI,33528
PIU,TYL,99534
TYL,PIU,99534
MVD,PDP,85577
STY,COC,15799
AGV,BRM,56064
AGV,GUQ,81631
AGV,SNF,96544
AAO,BLA,79596
AAO,SOM,64418
BLA,AAO,79596
BLA,CUM,72193
BNS,GUQ,68209
BNS,VLV,90423
BRM,AGV,56064
BRM,VCR,78836
BRM,SNF,71145
CBL,PZO,87542
VCR,BRM,78836
CUP,CUM,97900
CUP,ICC,80149
CUP,PMV,82053
CZE,LSP,65512
CUM,BLA,72193
CUM,CUP,97900
CUM,ICC,41625
CUM,PMV,54493
EOR,TMO,57760
EOZ,PTM,89693
GDO,AUC,19589
GDO,PTM,77535
GDO,SBB,75218
GUQ,AGV,81631
GUQ,BNS,68209
GUQ,VLV,97549
HGE,CCS,99534
ICC,CUP,80149
ICC,CUM,41625
ICC,PMV,13256
LSP,CZE,65512
LSP,AUA,81579
LFR,CUC,43653
LFR,SCI,49316
LFR,SVZ,48083
LFR,STD,79389
LFR,STB,89459
LFR,VIG,78600
MRD,SBB,86671
MRD,STB,96511
MRD,VIG,56508
PMV,CUP,82053
PMV,CUM,54493
PMV,ICC,13256
CCS,HGE,99534
CCS,MYC,81984
PYH,PCR,64096
PBL,SNF,78005
PBL,VLN,40082
PBL,MYC,53008
SCI,CUC,36818
SCI,LFR,49316
SCI,SVZ,26482
SCI,STD,32133
PZO,CBL,87542
PTM,AUC,82504
PTM,EOZ,89693
PTM,GDO,77535
SVZ,CUC,12487
SVZ,LFR,48083
SVZ,SCI,26482
SVZ,STD,54151
SBB,AUC,94490
SBB,GDO,75218
SBB,MRD,86671
SBB,STD,99506
STD,CUC,66234
STD,LFR,79389
STD,SCI,32133
STD,SVZ,54151
STD,SBB,99506
STD,RVE,71066
SNF,AGV,96544
SNF,BRM,71145
SNF,PBL,78005
SNF,VLN,91711
SOM,AAO,64418
STB,LFR,89459
STB,MRD,96511
STB,VIG,49068
TMO,EOR,57760
VLN,PBL,40082
VLN,SNF,91711
VLN,MYC,32538
VLV,BNS,90423
VLV,GUQ,97549
LTM,NAI,98621
ANU,MNI,57418
ANU,BBQ,55690
ANU,NEV,85135
DCF,DOM,25415
DCF,FDF,92957
DCF,BBR,84143
DCF,GBJ,60654
DCF,LSS,62119
DOM,DCF,25415
DOM,PTP,83723
DOM,DSD,86610
DOM,BBR,70274
DOM,SFC,79228
DOM,GBJ,35955
DOM,LSS,46396
FDF,DCF,92957
FDF,SLU,63551
FDF,UVF,95646
SFG,SKB,94456
SFG,EUX,67553
SFG,SXM,9253
SFG,AXA,11707
SFG,SAB,53847
SFG,SBH,30631
PTP,DOM,83723
PTP,MNI,91725
PTP,DSD,47936
PTP,BBR,35960
PTP,SFC,28791
PTP,GBJ,52282
PTP,LSS,44932
GND,CIW,91166
GND,UNI,77832
STT,STX,73113
STT,FAJ,72827
STT,EIS,47013
STT,VIJ,58930
STT,VQS,53524
STT,CPX,35072
STT,NRR,71553
STT,SPB,3458
STT,NGD,80621
STX,STT,73113
STX,EIS,87010
STX,VIJ,91711
STX,VQS,80580
STX,CPX,86594
STX,SPB,72456
BQN,MAZ,26704
BQN,PSE,80744
BQN,ARE,48206
FAJ,STT,72827
FAJ,SIG,48932
FAJ,SJU,38735
FAJ,VQS,33194
FAJ,CPX,37793
FAJ,NRR,7345
FAJ,SPB,76285
SIG,FAJ,48932
SIG,PSE,70063
SIG,SJU,10352
SIG,VQS,80853
SIG,CPX,85361
SIG,ARE,60955
SIG,NRR,53501
MAZ,BQN,26704
MAZ,PSE,67787
MAZ,ARE,54475
PSE,BQN,80744
PSE,SIG,70063
PSE,MAZ,67787
PSE,SJU,76316
PSE,ARE,50583
SJU,FAJ,38735
SJU,SIG,10352
SJU,PSE,76316
SJU,VQS,71026
SJU,CPX,75009
SJU,ARE,71132
SJU,NRR,43600
SKB,SFG,94456
SKB,EUX,34531
SKB,SXM,91175
SKB,MNI,80466
SKB,SAB,64915
SKB,NEV,18039
SKB,SBH,67351
SLU,FDF,63551
SLU,UVF,32244
SLU,SVD,97615
UVF,FDF,95646
UVF,SLU,32244
UVF,MQS,97275
UVF,SVD,67640
UVF,BQU,89427
AUA,LSP,81579
BON,CUR,75504
CUR,BON,75504
EUX,SFG,67553
EUX,SKB,34531
EUX,SXM,62149
EUX,AXA,79255
EUX,SAB,30418
EUX,NEV,52542
EUX,SBH,47636
SXM,SFG,9253
SXM,SKB,91175
SXM,EUX,62149
SXM,AXA,19102
SXM,SAB,45628
SXM,SBH,31943
AXA,SFG,11707
AXA,EUX,79255
AXA,SXM,19102
AXA,SAB,64718
AXA,SBH,40241
TAB,POS,82796
POS,TAB,82796
EIS,STT,47013
EIS,STX,87010
EIS,VIJ,12198
EIS,VQS,99938
EIS,CPX,81749
EIS,SPB,43642
EIS,NGD,38663
CIW,GND,91166
CIW,MQS,27427
CIW,SVD,55063
CIW,BQU,33377
CIW,UNI,13349
MQS,UVF,97275
MQS,CIW,27427
MQS,SVD,30101
MQS,BQU,14280
MQS,UNI,40735
SVD,SLU,97615
SVD,UVF,67640
SVD,CIW,55063
SVD,MQS,30101
SVD,BQU,22330
SVD,UNI,68168
ALA,IKU,89151
OSS,AZN,44180
OSS,FEG,93024
GYD,ZXT,6691
YKS,GYG,11812
BQS,HEK,29187
KHV,FYJ,70918
KBP,IEV,32067
KBP,GML,57508
DOK,KRQ,70829
DNK,OZH,56862
SIP,UKS,51488
IEV,KBP,32067
IEV,GML,29025
MHP,MSQ,32287
MSQ,MHP,32287
MRV,NAL,90924
ROV,TGK,87542
NJC,SWT,69190
SGC,NFG,48057
DYU,KQT,75432
BHK,NVI,69954
SVO,VKO,43493
